947.33,8139.84,6740.09,436.771,0.88057,2084.84,2221.55,3193.27,2861.7,-2047.35,-794.608,-1676.91,-675.452,-1072.41,-780.961,1
2458.19,10362.5,6040.12,-958.745,1322.67,3102.35,2810.94,1578.46,3230.59,-2198.2,216.981,-3044.91,-561.088,-662.048,-339.103,1
2999.64,10784.7,5564.97,1492.61,107.154,1573.12,1097.14,4367.93,972.283,-1614.84,-260.485,-1980.32,331.759,-1026.83,21.7128,1
3182.13,10250.5,5729.87,1114.82,445.887,2364.03,2160.92,2807.75,3182.22,-1922.62,522.258,-2715.04,-222.529,-634.719,164.281,1
1806.92,6830.76,5643.62,952.505,274.177,1376.58,2185.14,1872.5,1560.45,-2265.49,-534.899,-1446.02,-358.431,-1904.14,-15.8623,2
1483.17,6581.72,5984.14,418.446,438.816,1495.95,2581.19,1584.04,2300.98,-1775.2,-415.249,-1934.89,-841.459,-1758.62,21.147,2
1533.7,6517.27,5907.94,425.628,479.412,1494.56,2506.98,1367.09,2320.61,-1610.72,-443.135,-1949.94,-608.974,-1509.75,97.5546,2
1632.1,7087.52,6052.07,516.098,375.867,1567.2,2361.86,1526.28,1907.8,-1868.07,-655.023,-1633.45,-296.396,-1294.72,-55.6387,2
543.251,7531.09,4006.07,-826.661,-1252.34,2117.28,811.72,2324.55,3062.37,-1165.38,177.778,-1969.52,452.677,-1730.99,-97.2151,3
381.395,7838.52,3576.48,-324.048,-1020.69,2287.68,874.2,2475.54,2738.88,-532.48,629.966,-2387.75,663.372,-1787.79,-60.6165,3
1682.23,7284.98,4757.86,-1835.91,-1199.91,2007.06,1050.14,2640.29,2225.1,-1496.92,-238.071,-2082.25,7.68454,-1242.65,207.944,3
2024.96,7397.22,4947.97,-2241.28,-925.301,2077.41,1061.74,2549.63,1805,-1317.8,-71.5749,-2474.16,-167.69,-1512.95,372.744,3
172.2,7283.09,4935.55,-1732.52,-1243.28,2819.89,1355.98,2700.2,1934.12,-2492.1,190.618,-1230.26,-1204.45,-879.037,-421.533,4
369.702,7246.8,4390.62,-626.308,-1496.89,3505.98,2210.87,2636.69,2573.39,-1755.64,649.149,-1357.73,-896.642,-1487.25,-254.702,4
87.7935,7927.27,4961.97,-92.2338,-1411.35,3375.02,1628.26,3419.55,2581.55,-2213.98,291.286,-1050.57,-764.648,-1767.33,-321.824,4
166.068,8158.59,4624.17,473.339,-1430.22,3595.02,2210.14,3149.62,2626.22,-1528.12,506.09,-1453.71,-315.332,-2194.08,45.1058,4
1599.17,8591.26,4521.11,-2770.08,323.87,1690.08,1217.47,1647.98,2009.97,-2322.94,-423.254,-2426.66,-9.13812,-1522.62,-130.28,5
1423.92,8498.61,4571.51,-2419.44,51.0378,1846.99,1421.53,1920.61,2928.05,-2642.87,-230.978,-2056.56,98.4673,-1556.07,-393.081,5
